Timestamp,Frame Index,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-13_20-09-31,16,No marker - using reference size,0.005313,3.097,1.897,4.267,7.903
2025-11-13_20-09-32,42,No marker - using reference size,0.005313,2.279,1.891,1.339,8.248
2025-11-13_20-09-33,70,No marker - using reference size,0.005313,2.215,1.875,0.995,8.282
2025-11-13_20-09-34,98,Marker OK (ID 0),0.038825,21.703,13.666,188.336,6.364
2025-11-13_20-09-35,129,Marker OK (ID 0),0.043698,23.422,15.382,711.656,8.002
2025-11-13_20-09-36,156,Marker OK (ID 0),0.04862,31.117,17.406,2117.44,11.262
2025-11-13_20-09-37,184,Marker OK (ID 0),0.050611,10.477,17.866,790.662,10.149
2025-11-13_20-09-38,215,Marker OK (ID 0),0.05243,17.931,12.059,23.218,4.689
2025-11-13_20-09-39,245,Marker OK (ID 0),0.053034,21.85,18.721,1805.81,10.506
2025-11-13_20-09-40,273,Marker OK (ID 0),0.051194,19.556,11.416,0.738,4.258
2025-11-13_20-09-41,301,Marker OK (ID 0),0.047797,23.66,16.968,2209.924,9.3
2025-11-13_20-09-42,330,Marker OK (ID 0),0.048346,20.45,17.211,1747.868,9.135
2025-11-13_20-09-43,356,Marker OK (ID 0),0.042951,23.58,10.952,475.845,4.746
2025-11-13_20-09-44,384,Marker OK (ID 0),0.037988,19.602,13.486,1073.84,5.972
2025-11-13_20-09-45,409,Marker OK (ID 0),0.036196,19.727,12.849,1183.53,5.455
2025-11-13_20-09-46,437,Marker OK (ID 0),0.036681,19.918,13.058,1383.853,5.646
2025-11-13_20-09-47,465,Marker OK (ID 0),0.037024,17.105,9.774,47.479,2.766
2025-11-13_20-09-48,491,Marker OK (ID 0),0.037912,20.018,13.648,1221.618,6.143
2025-11-13_20-09-50,519,Marker lost - using last scale,0.036819,18.52,12.923,902.188,5.435
2025-11-13_20-09-51,547,Marker OK (ID 0),0.048678,24.534,17.329,1852.908,9.725
2025-11-13_20-09-52,574,Marker OK (ID 0),0.046364,26.66,16.552,2652.228,9.535
2025-11-13_20-09-53,601,Marker OK (ID 0),0.04469,24.088,15.865,1559.998,8.497
2025-11-13_20-09-54,630,Marker OK (ID 0),0.044479,27.266,15.835,2484.796,9.147
2025-11-13_20-09-55,655,Marker OK (ID 0),0.044706,28.612,16.005,3042.7,9.611
2025-11-13_20-09-56,680,Marker OK (ID 0),0.043049,24.538,15.067,2077.774,7.965
2025-11-13_20-09-57,707,Marker OK (ID 0),0.043466,24.906,15.517,2075.51,8.383
2025-11-13_20-09-58,733,Marker OK (ID 0),0.045129,20.533,9.116,328.958,2.639
2025-11-13_20-09-59,760,Marker lost - using last scale,0.045111,14.345,16.014,902.146,8.158
2025-11-13_20-10-00,790,Marker lost - using last scale,0.045111,20.48,15.969,1152.696,8.106
