Timestamp,Width (cm),Height (cm),cm_per_pixel
2025-11-13 19:32:27,3.84,16.46,0.03105
2025-11-13 19:32:27,3.6,15.44,0.0289
2025-11-13 19:32:27,3.64,15.4,0.02874
2025-11-13 19:32:27,3.61,15.4,0.02857
2025-11-13 19:32:27,3.67,15.52,0.02874
2025-11-13 19:32:27,3.67,15.49,0.02857
2025-11-13 19:32:27,3.68,15.52,0.02857
2025-11-13 19:32:27,3.67,15.54,0.02857
2025-11-13 19:32:27,3.71,15.57,0.02857
2025-11-13 19:32:27,3.71,15.57,0.02857
2025-11-13 19:32:27,3.68,15.58,0.02857
2025-11-13 19:32:27,3.68,15.55,0.02857
2025-11-13 19:32:27,3.68,15.46,0.02841
2025-11-13 19:32:27,3.65,15.49,0.02857
2025-11-13 19:32:27,3.68,15.49,0.02857
2025-11-13 19:32:27,3.67,15.52,0.02874
2025-11-13 19:32:27,3.66,15.49,0.02874
2025-11-13 19:32:27,3.64,15.46,0.02874
2025-11-13 19:32:27,3.65,15.44,0.02874
2025-11-13 19:32:27,3.67,15.52,0.0289
2025-11-13 19:32:28,3.66,15.49,0.0289
2025-11-13 19:32:28,3.64,15.5,0.0289
2025-11-13 19:32:28,3.65,15.5,0.0289
2025-11-13 19:32:28,3.63,15.47,0.0289
2025-11-13 19:32:28,3.65,15.56,0.02907
2025-11-13 19:32:28,3.65,15.56,0.02907
2025-11-13 19:32:28,3.63,15.47,0.0289
2025-11-13 19:32:28,3.63,15.47,0.0289
2025-11-13 19:32:28,3.66,15.56,0.02907
2025-11-13 19:32:28,3.66,15.56,0.02907
2025-11-13 19:32:28,3.63,15.47,0.0289
2025-11-13 19:32:28,3.63,15.47,0.0289
2025-11-13 19:32:28,3.65,15.56,0.02907
2025-11-13 19:32:28,3.64,15.47,0.0289
2025-11-13 19:32:28,3.63,15.47,0.0289
2025-11-13 19:32:28,3.63,15.47,0.0289
2025-11-13 19:32:28,3.63,15.47,0.0289
2025-11-13 19:32:28,3.63,15.47,0.0289
2025-11-13 19:32:28,3.63,15.47,0.0289
2025-11-13 19:32:28,3.63,15.47,0.0289
2025-11-13 19:32:28,3.63,15.47,0.0289
2025-11-13 19:32:28,3.63,15.47,0.0289
2025-11-13 19:32:28,3.63,15.47,0.0289
2025-11-13 19:32:28,3.63,15.47,0.0289
2025-11-13 19:32:28,3.63,15.47,0.0289
2025-11-13 19:32:28,3.63,15.47,0.0289
2025-11-13 19:32:28,3.63,15.47,0.0289
2025-11-13 19:32:28,3.61,15.38,0.02874
2025-11-13 19:32:28,3.66,15.56,0.02907
2025-11-13 19:32:28,3.63,15.47,0.0289
2025-11-13 19:32:29,3.63,15.47,0.0289
2025-11-13 19:32:29,3.63,15.47,0.0289
2025-11-13 19:32:29,3.63,15.47,0.0289
2025-11-13 19:32:29,3.63,15.47,0.0289
2025-11-13 19:32:29,3.63,15.47,0.0289
2025-11-13 19:32:29,3.63,15.47,0.0289
2025-11-13 19:32:29,3.63,15.47,0.0289
2025-11-13 19:32:29,3.63,15.47,0.0289
2025-11-13 19:32:29,3.63,15.47,0.0289
2025-11-13 19:32:29,3.63,15.47,0.0289
2025-11-13 19:32:29,3.66,15.47,0.0289
2025-11-13 19:32:29,3.61,15.38,0.02874
2025-11-13 19:32:29,3.63,15.47,0.0289
2025-11-13 19:32:29,3.63,15.47,0.0289
2025-11-13 19:32:29,3.72,15.47,0.0289
2025-11-13 19:32:29,3.69,15.47,0.0289
2025-11-13 19:32:29,3.7,15.56,0.02907
2025-11-13 19:32:29,3.61,15.38,0.02874
2025-11-13 19:32:29,3.63,15.47,0.0289
2025-11-13 19:32:29,3.63,15.47,0.0289
2025-11-13 19:32:29,3.63,15.47,0.0289
2025-11-13 19:32:29,3.63,15.47,0.0289
2025-11-13 19:32:29,3.63,15.47,0.0289
2025-11-13 19:32:29,3.63,15.47,0.0289
2025-11-13 19:32:29,3.65,15.56,0.02907
2025-11-13 19:32:29,3.63,15.47,0.0289
2025-11-13 19:32:29,3.63,15.47,0.0289
2025-11-13 19:32:29,3.64,15.38,0.02874
2025-11-13 19:32:29,15.46,3.74,0.0289
2025-11-13 19:32:29,3.7,15.46,0.0289
2025-11-13 19:32:30,3.63,15.47,0.0289
2025-11-13 19:32:30,3.63,15.47,0.0289
2025-11-13 19:32:30,3.63,15.47,0.0289
2025-11-13 19:32:30,3.63,15.47,0.0289
2025-11-13 19:32:30,3.67,15.46,0.0289
2025-11-13 19:32:30,3.63,15.47,0.0289
2025-11-13 19:32:30,3.63,15.47,0.0289
2025-11-13 19:32:30,3.63,15.47,0.0289
2025-11-13 19:32:30,3.63,15.47,0.0289
2025-11-13 19:32:30,3.63,15.47,0.0289
2025-11-13 19:32:30,3.63,15.47,0.0289
2025-11-13 19:32:30,3.68,15.46,0.0289
2025-11-13 19:32:30,3.61,15.38,0.02874
2025-11-13 19:32:30,3.63,15.47,0.0289
2025-11-13 19:32:30,3.63,15.47,0.0289
2025-11-13 19:32:30,3.69,15.46,0.0289
2025-11-13 19:32:30,3.69,15.46,0.0289
2025-11-13 19:32:30,3.69,15.46,0.0289
2025-11-13 19:32:30,3.68,15.46,0.0289
2025-11-13 19:32:30,3.66,15.37,0.02874
2025-11-13 19:32:30,3.66,15.56,0.02907
2025-11-13 19:32:30,3.63,15.47,0.0289
2025-11-13 19:32:30,3.63,15.47,0.0289
2025-11-13 19:32:30,3.63,15.47,0.0289
2025-11-13 19:32:30,3.63,15.47,0.0289
2025-11-13 19:32:30,3.64,15.47,0.0289
2025-11-13 19:32:30,3.63,15.47,0.0289
2025-11-13 19:32:30,3.63,15.47,0.0289
2025-11-13 19:32:30,3.64,15.47,0.0289
2025-11-13 19:32:30,3.71,15.55,0.02907
2025-11-13 19:32:31,3.69,15.46,0.0289
2025-11-13 19:32:31,3.63,15.47,0.0289
2025-11-13 19:32:31,3.67,15.56,0.02907
2025-11-13 19:32:31,3.65,15.47,0.0289
2025-11-13 19:32:31,3.64,15.47,0.0289
2025-11-13 19:32:31,3.64,15.47,0.0289
2025-11-13 19:32:31,3.63,15.47,0.0289
2025-11-13 19:32:31,3.64,15.47,0.0289
2025-11-13 19:32:31,3.63,15.47,0.0289
2025-11-13 19:32:31,3.64,15.47,0.0289
2025-11-13 19:32:31,3.64,15.47,0.0289
2025-11-13 19:32:31,3.64,15.47,0.0289
2025-11-13 19:32:31,3.69,15.46,0.0289
2025-11-13 19:32:31,3.64,15.47,0.0289
2025-11-13 19:32:31,3.64,15.47,0.0289
2025-11-13 19:32:31,3.65,15.47,0.0289
2025-11-13 19:32:31,3.64,15.47,0.0289
2025-11-13 19:32:31,3.64,15.47,0.0289
2025-11-13 19:32:31,3.63,15.47,0.0289
2025-11-13 19:32:31,3.64,15.47,0.0289
2025-11-13 19:32:31,3.64,15.47,0.0289
2025-11-13 19:32:31,3.68,15.46,0.0289
2025-11-13 19:32:31,3.64,15.47,0.0289
2025-11-13 19:32:31,3.67,15.47,0.0289
2025-11-13 19:32:31,3.61,15.38,0.02874
2025-11-13 19:32:31,3.64,15.47,0.0289
2025-11-13 19:32:31,3.67,15.47,0.0289
2025-11-13 19:32:31,3.64,15.47,0.0289
2025-11-13 19:32:31,3.63,15.47,0.0289
2025-11-13 19:32:31,3.64,15.47,0.0289
2025-11-13 19:32:32,3.66,15.47,0.0289
2025-11-13 19:32:32,3.65,15.47,0.0289
2025-11-13 19:32:32,3.63,15.38,0.02874
2025-11-13 19:32:32,3.64,15.47,0.0289
2025-11-13 19:32:32,3.64,15.47,0.0289
2025-11-13 19:32:32,3.67,15.47,0.0289
2025-11-13 19:32:32,3.64,15.47,0.0289
2025-11-13 19:32:32,15.38,3.73,0.02874
2025-11-13 19:32:32,3.64,15.47,0.0289
2025-11-13 19:32:32,3.64,15.47,0.0289
2025-11-13 19:32:32,3.64,15.47,0.0289
2025-11-13 19:32:32,3.64,15.47,0.0289
2025-11-13 19:32:32,15.37,3.71,0.02874
2025-11-13 19:32:32,3.64,15.47,0.0289
2025-11-13 19:32:32,3.62,15.38,0.02874
2025-11-13 19:32:32,3.64,15.47,0.0289
2025-11-13 19:32:32,3.62,15.38,0.02874
2025-11-13 19:32:32,3.64,15.47,0.0289
2025-11-13 19:32:32,3.62,15.38,0.02874
2025-11-13 19:32:32,3.64,15.47,0.0289
2025-11-13 19:32:32,3.69,15.47,0.0289
2025-11-13 19:32:32,15.46,3.71,0.0289
2025-11-13 19:32:32,15.47,3.77,0.0289
2025-11-13 19:32:32,15.47,3.77,0.0289
2025-11-13 19:32:32,3.7,15.46,0.0289
2025-11-13 19:32:32,15.47,3.77,0.0289
2025-11-13 19:32:32,3.62,15.38,0.02874
2025-11-13 19:32:32,3.62,15.38,0.02874
2025-11-13 19:32:32,3.64,15.47,0.0289
2025-11-13 19:32:32,3.64,15.47,0.0289
2025-11-13 19:32:33,3.64,15.47,0.0289
2025-11-13 19:32:33,3.64,15.47,0.0289
2025-11-13 19:32:33,3.64,15.47,0.0289
2025-11-13 19:32:33,3.64,15.47,0.0289
2025-11-13 19:32:33,3.62,15.38,0.02874
2025-11-13 19:32:33,3.64,15.47,0.0289
2025-11-13 19:32:33,3.62,15.38,0.02874
2025-11-13 19:32:33,3.64,15.47,0.0289
2025-11-13 19:32:33,3.64,15.47,0.0289
2025-11-13 19:32:33,3.69,15.38,0.02874
2025-11-13 19:32:33,3.64,15.47,0.0289
2025-11-13 19:32:33,3.63,15.38,0.02874
2025-11-13 19:32:33,3.63,15.47,0.0289
2025-11-13 19:32:33,3.64,15.47,0.0289
2025-11-13 19:32:33,3.64,15.47,0.0289
2025-11-13 19:32:33,3.64,15.47,0.0289
2025-11-13 19:32:33,3.64,15.47,0.0289
2025-11-13 19:32:33,3.64,15.47,0.0289
2025-11-13 19:32:33,3.64,15.47,0.0289
2025-11-13 19:32:33,3.64,15.47,0.0289
2025-11-13 19:32:33,3.64,15.47,0.0289
2025-11-13 19:32:33,3.63,15.47,0.0289
2025-11-13 19:32:33,3.61,15.38,0.02874
2025-11-13 19:32:33,3.64,15.47,0.0289
2025-11-13 19:32:33,3.64,15.47,0.0289
2025-11-13 19:32:33,3.64,15.47,0.0289
2025-11-13 19:32:33,3.64,15.47,0.0289
2025-11-13 19:32:33,3.63,15.47,0.0289
2025-11-13 19:32:33,3.61,15.38,0.02874
2025-11-13 19:32:33,3.64,15.47,0.0289
2025-11-13 19:32:34,3.63,15.47,0.0289
2025-11-13 19:32:34,3.64,15.47,0.0289
2025-11-13 19:32:34,3.64,15.47,0.0289
2025-11-13 19:32:34,3.64,15.47,0.0289
2025-11-13 19:32:34,3.63,15.47,0.0289
2025-11-13 19:32:34,3.63,15.47,0.0289
2025-11-13 19:32:34,3.64,15.47,0.0289
2025-11-13 19:32:34,3.63,15.47,0.0289
2025-11-13 19:32:34,3.64,15.47,0.0289
2025-11-13 19:32:34,3.64,15.47,0.0289
2025-11-13 19:32:34,3.64,15.47,0.0289
2025-11-13 19:32:34,3.64,15.47,0.0289
2025-11-13 19:32:34,3.64,15.47,0.0289
2025-11-13 19:32:34,3.64,15.47,0.0289
2025-11-13 19:32:34,3.64,15.47,0.0289
2025-11-13 19:32:34,3.64,15.47,0.0289
2025-11-13 19:32:34,3.64,15.47,0.0289
2025-11-13 19:32:34,3.64,15.47,0.0289
2025-11-13 19:32:34,3.64,15.47,0.0289
2025-11-13 19:32:34,3.62,15.38,0.02874
2025-11-13 19:32:34,3.62,15.38,0.02874
2025-11-13 19:32:34,3.65,15.47,0.0289
2025-11-13 19:32:34,3.62,15.38,0.02874
2025-11-13 19:32:34,3.64,15.47,0.0289
2025-11-13 19:32:34,3.64,15.47,0.0289
2025-11-13 19:32:34,3.62,15.38,0.02874
2025-11-13 19:32:34,3.62,15.38,0.02874
2025-11-13 19:32:34,3.64,15.47,0.0289
2025-11-13 19:32:34,3.64,15.47,0.0289
2025-11-13 19:32:34,3.64,15.47,0.0289
2025-11-13 19:32:35,3.62,15.38,0.02874
2025-11-13 19:32:35,15.38,3.75,0.02874
2025-11-13 19:32:35,3.64,15.47,0.0289
2025-11-13 19:32:35,3.64,15.47,0.0289
2025-11-13 19:32:35,15.38,3.73,0.02874
2025-11-13 19:32:35,3.66,15.47,0.0289
2025-11-13 19:32:35,3.64,15.47,0.0289
2025-11-13 19:32:35,3.65,15.47,0.0289
2025-11-13 19:32:35,3.65,15.47,0.0289
2025-11-13 19:32:35,3.62,15.38,0.02874
2025-11-13 19:32:35,3.64,15.47,0.0289
2025-11-13 19:32:35,3.63,15.47,0.0289
2025-11-13 19:32:35,3.67,15.47,0.0289
2025-11-13 19:32:35,3.62,15.38,0.02874
2025-11-13 19:32:35,3.64,15.47,0.0289
2025-11-13 19:32:35,3.64,15.47,0.0289
2025-11-13 19:32:35,3.63,15.47,0.0289
2025-11-13 19:32:35,3.63,15.47,0.0289
2025-11-13 19:32:35,3.63,15.47,0.0289
2025-11-13 19:32:35,3.64,15.47,0.0289
2025-11-13 19:32:35,3.61,15.38,0.02874
2025-11-13 19:32:35,3.62,15.38,0.02874
2025-11-13 19:32:35,3.62,15.38,0.02874
2025-11-13 19:32:35,3.63,15.47,0.0289
2025-11-13 19:32:35,3.63,15.47,0.0289
2025-11-13 19:32:35,3.64,15.47,0.0289
2025-11-13 19:32:35,3.64,15.47,0.0289
2025-11-13 19:32:35,3.62,15.38,0.02874
2025-11-13 19:32:35,3.64,15.47,0.0289
2025-11-13 19:32:35,3.64,15.47,0.0289
2025-11-13 19:32:36,3.64,15.47,0.0289
2025-11-13 19:32:36,3.64,15.47,0.0289
2025-11-13 19:32:36,3.62,15.38,0.02874
2025-11-13 19:32:36,3.63,15.47,0.0289
2025-11-13 19:32:36,3.64,15.47,0.0289
2025-11-13 19:32:36,3.64,15.47,0.0289
2025-11-13 19:32:36,3.62,15.38,0.02874
